dt,price
2026-02-28 12:00:00,81.09
2026-02-28 13:00:00,77.96
2026-02-28 14:00:00,77.8
2026-02-28 15:00:00,82.63
2026-02-28 16:00:00,91.95
2026-02-28 17:00:00,111.99
2026-02-28 18:00:00,113.36
2026-02-28 19:00:00,98.47
2026-02-28 20:00:00,87.04
2026-02-28 21:00:00,85.5
2026-02-28 22:00:00,80.68
2026-02-28 23:00:00,98.86
2026-03-01 00:00:00,93.03
2026-03-01 01:00:00,87.12
2026-03-01 02:00:00,72.21
2026-03-01 03:00:00,65.42
2026-03-01 04:00:00,61.41
2026-03-01 05:00:00,54.48
2026-03-01 06:00:00,56.96
2026-03-01 07:00:00,50.71
2026-03-01 08:00:00,42.15
2026-03-01 09:00:00,44.41
2026-03-01 10:00:00,54.38
2026-03-01 11:00:00,60.5
2026-03-01 12:00:00,59.84
2026-03-01 13:00:00,57.54
2026-03-01 14:00:00,65.51
2026-03-01 15:00:00,78.43
2026-03-01 16:00:00,90.73
2026-03-01 17:00:00,99.17
2026-03-01 18:00:00,100.14
2026-03-01 19:00:00,88.22
2026-03-01 20:00:00,76.82
2026-03-01 21:00:00,69.7
2026-03-01 22:00:00,40.75
2026-03-01 23:00:00,32.28
2026-03-02 00:00:00,35.35
2026-03-02 01:00:00,31.32
2026-03-02 02:00:00,27.26
2026-03-02 03:00:00,26.87
2026-03-02 04:00:00,32.9
2026-03-02 05:00:00,59.03
2026-03-02 06:00:00,101.73
2026-03-02 07:00:00,111.79
2026-03-02 08:00:00,101.12
2026-03-02 09:00:00,91.22
2026-03-02 10:00:00,81.28
2026-03-02 11:00:00,78.51
2026-03-02 12:00:00,78.4
2026-03-02 13:00:00,79.41
2026-03-02 14:00:00,85.38
2026-03-02 15:00:00,95.05
2026-03-02 16:00:00,111.34
2026-03-02 17:00:00,128.37
2026-03-02 18:00:00,128.29
2026-03-02 19:00:00,112.94
2026-03-02 20:00:00,99.54
2026-03-02 21:00:00,93.68
2026-03-02 22:00:00,91.56
2026-03-02 23:00:00,90.35
2026-03-03 00:00:00,96.9
2026-03-03 01:00:00,96.6
2026-03-03 02:00:00,100.6
2026-03-03 03:00:00,99.38
2026-03-03 04:00:00,100.3
2026-03-03 05:00:00,109.42
2026-03-03 06:00:00,135.5
2026-03-03 07:00:00,142.73
2026-03-03 08:00:00,121.48
2026-03-03 09:00:00,108.22
2026-03-03 10:00:00,96.56
2026-03-03 11:00:00,93.05
2026-03-03 12:00:00,93.55
2026-03-03 13:00:00,93.99
2026-03-03 14:00:00,95.56
2026-03-03 15:00:00,107.43
2026-03-03 16:00:00,139.26
2026-03-03 17:00:00,176.59
2026-03-03 18:00:00,162.07
2026-03-03 19:00:00,131.33
2026-03-03 20:00:00,112.72
2026-03-03 21:00:00,106.6
2026-03-03 22:00:00,101.22
2026-03-03 23:00:00,130.15
